Cartel Vertical,Anonymized Client ID,Anonymized Sub Org ID,Org Created,Anonymized User ID,Anonymized Event ID,Event Created,Has Location,Last Chat Response Date,Admin First Response Date,First Chat Response Date,Eventcategory (group),Number of Records,adminchats,Adminflag,Anonymous,averagelen,chatcount,Event Text,Eventcategory,eventid (Custom SQL Query),Testflag,userchats,chat_count,,,,
HigherEd,114-76-32-85-110-105-109-00-97-85-97-,114-76-00-85-110-105-109-00-97-85-97-,2/6/14 16:55,5278786,1992077,2019-09-03 17:37:00,True,9/4/19 23:17,,9/3/19 17:38,Suspicious Activity,1,0.0,0,1,39.57142857,7.0,My roommate smokes in his room his name is [PERSON] his [ORG] is [PERSON] and I would like to stay anonymous. Gentry hall ####,Suspicious Activity,1992177.0,0.0,0.0,7
